wave,lnwage,sex,expf,expfsq,expp,exppsq,edyrs,colldeg,advdeg,msa,region,racehisp,union,govt,ind,occ,mgrocc,profocc,maleprofaer,wght
2011,3.4173266887664795,male,17,289,0,0,17,1,0,0,midwest,whitenh,1,NA,education,legaleduc,0,1,0,13.317999839782715
1990,3.1675586700439453,male,25,625,0,0,12,0,0,0,midwest,whitenh,0,0,durables,managerial,1,0,0,20.114999771118164
1999,2.399857997894287,male,6,36,0,0,16,1,0,1,south,whitenh,0,0,wholesale,sales,0,0,0,10.236000061035156
1990,3.0876693725585938,male,7,49,6,36,16,0,0,1,south,blacknh,0,0,miningconstruction,construct,0,0,0,4.189000129699707
1981,3.1392035484313965,male,19,361,0,0,12,0,0,1,south,whitenh,1,0,nondurables,construct,0,0,0,25
2007,2.2090494632720947,male,11,121,0,0,12,0,0,0,midwest,whitenh,0,0,retail,construct,0,0,0,13.468999862670898
2009,3.847259044647217,male,9,81,3,9,18,0,1,0,south,whitenh,0,0,durables,tech,0,1,1,24.81100082397461
1981,3.5528788566589355,male,37,1369,0,0,8,0,0,1,west,hisp,1,0,retail,admin,0,0,0,20
2007,3.856290578842163,male,18,324,4,16,15,0,0,1,south,whitenh,0,0,communications,tech,0,1,1,23.14699935913086
1990,2.972804307937622,male,8,64,4,16,15,0,0,0,south,blacknh,0,0,durables,construct,0,0,0,2.4809999465942383
1981,3.130021810531616,male,11,121,0,0,14,0,0,1,west,whitenh,1,0,transport,construct,0,0,0,8
2011,3.3467092514038086,male,18,324,1,1,14,0,0,1,west,whitenh,0,0,nondurables,construct,0,0,0,27.59000015258789
1999,3.1609983444213867,male,26,676,0,0,13,0,0,1,midwest,blacknh,1,0,nondurables,transport,0,0,0,3.490999937057495
1999,1.3162463903427124,male,19,361,1,1,12,0,0,0,south,blacknh,0,0,wholesale,transport,0,0,0,7.574999809265137
1981,2.645010471343994,male,19,361,0,0,14,0,0,1,midwest,whitenh,0,1,admin,managerial,1,0,0,35
2007,3.1404056549072266,male,33,1089,0,0,13,0,0,1,south,blacknh,0,0,transport,transport,0,0,0,16.562000274658203
1981,3.347602128982544,male,38,1444,0,0,16,1,0,1,west,whitenh,1,0,transport,financial,1,0,0,32
2009,3.230710983276367,male,19,361,6,36,15,0,0,1,midwest,whitenh,0,0,enterntainment,production,0,0,0,26.368000030517578
2009,2.8878588676452637,male,17,289,5,25,14,0,0,0,south,whitenh,0,0,professional,sales,0,0,0,26.349000930786133
1999,2.797851085662842,male,30,900,0,0,12,0,0,1,south,blacknh,0,0,durables,production,0,0,0,0.8169999718666077
2007,3.0742714405059814,male,9,81,1,1,12,0,0,1,west,whitenh,0,0,enterntainment,construct,0,0,0,13.269000053405762
1990,2.6956074237823486,male,14,196,4,16,8,0,0,0,south,whitenh,0,0,nondurables,production,0,0,0,18.113000869750977
