wave,lnwage,sex,expf,expfsq,expp,exppsq,edyrs,colldeg,advdeg,msa,region,racehisp,union,govt,ind,occ,mgrocc,profocc,maleprofaer,wght
1999,2.288316488265991,male,12,144,0,0,17,1,0,1,midwest,whitenh,0,0,retail,admin,0,0,0,45.619998931884766
1999,4.08378267288208,male,8,64,0,0,14,0,0,0,west,whitenh,0,0,finance,managerial,1,0,0,20.479999542236328
2009,3.1742875576019287,male,17,289,5,25,16,1,0,0,south,whitenh,0,0,communications,admin,0,0,0,24.93400001525879
2007,2.8233513832092285,male,37,1369,1,1,12,0,0,1,northeast,blacknh,0,0,enterntainment,production,0,0,0,7.745999813079834
2011,3.4838998317718506,male,17,289,0,0,18,0,1,1,west,whitenh,0,0,retail,sales,0,0,0,14.081999778747559
1999,3.071075916290283,male,27,729,0,0,14,0,0,0,south,blacknh,1,0,durables,production,0,0,0,4.438000202178955
2009,3.304760217666626,male,5,25,4,16,16,1,0,1,south,whitenh,0,0,wholesale,sales,0,0,0,8.682999610900879
2011,4.056136608123779,male,24,576,1,1,14,0,0,0,northeast,whitenh,1,0,miningconstruction,construct,0,0,0,23.636999130249023
1990,3.462862491607666,male,12,144,3,9,17,1,0,0,west,hisp,1,1,admin,socialworker,0,1,1,17.47100067138672
1999,2.514559268951416,male,12,144,1,1,12,0,0,0,south,whitenh,0,1,admin,security,0,0,0,24.69300079345703
1999,3.208101749420166,male,10,100,0,0,16,1,0,1,west,whitenh,0,1,medical,healthcare,0,1,1,16.305999755859375
2007,3.3091251850128174,male,16,256,1,1,16,1,0,1,south,whitenh,0,0,communications,sales,0,0,0,26.856000900268555
2011,2.448103427886963,male,19,361,2,4,12,0,0,1,west,blacknh,0,0,retail,admin,0,0,0,8.680999755859375
1999,3.764223098754883,male,26,676,2,4,16,1,0,1,midwest,whitenh,0,0,professional,architect,0,1,1,27.243000030517578
2011,2.0384981632232666,male,30,900,1,1,12,0,0,1,south,whitenh,0,0,finance,construct,0,0,0,23.218000411987305
1999,2.4659976959228516,male,28,784,0,0,11,0,0,1,west,whitenh,0,0,medical,building,0,0,0,22.554000854492188
1999,3.8159244060516357,male,24,576,0,0,16,1,0,0,northeast,whitenh,0,0,professional,architect,0,1,1,37.62200164794922
2011,3.0812902450561523,male,10,100,2,4,12,0,0,1,midwest,whitenh,0,0,retail,sales,0,0,0,11.137999534606934
1981,2.823784351348877,male,8,64,0,0,12,0,0,1,midwest,whitenh,1,0,durables,production,0,0,0,14
2011,2.6704723834991455,male,1,1,6,36,16,1,0,0,midwest,whitenh,1,1,education,legaleduc,0,1,0,34.215999603271484
1999,3.3176257610321045,male,21,441,2,4,14,0,0,0,midwest,whitenh,0,0,admin,transport,0,0,0,23.464000701904297
2007,4.002790927886963,male,30,900,0,0,16,1,0,1,south,whitenh,0,0,professional,scientist,0,1,1,31.464000701904297
1990,2.586521863937378,male,21,441,0,0,12,0,0,1,midwest,blacknh,0,0,medical,transport,0,0,0,1.1390000581741333
2009,3.530364990234375,male,6,36,4,16,18,0,1,1,midwest,whitenh,0,0,durables,architect,0,1,1,15.619000434875488
2009,3.2884938716888428,male,15,225,3,9,14,0,0,1,south,blacknh,0,0,nondurables,managerial,1,0,0,3.3440001010894775
1999,2.65215802192688,male,13,169,0,0,12,0,0,1,midwest,blacknh,0,0,enterntainment,construct,0,0,0,1.5240000486373901
2009,2.9352452754974365,male,11,121,1,1,13,0,0,0,midwest,whitenh,0,0,enterntainment,construct,0,0,0,4.547999858856201
2011,2.940162420272827,male,13,169,5,25,12,0,0,1,northeast,blacknh,1,1,admin,admin,0,0,0,32.555999755859375
1981,3.219128370285034,male,13,169,0,0,12,0,0,0,midwest,whitenh,1,0,nondurables,managerial,1,0,0,17
1981,2.360334634780884,male,30,900,0,0,5,0,0,0,south,blacknh,0,0,nondurables,production,0,0,0,5
1981,2.9163243770599365,male,25,625,0,0,12,0,0,1,northeast,blacknh,1,1,transport,transport,0,0,0,3
1981,3.1813151836395264,male,23,529,0,0,14,0,0,0,west,whitenh,0,1,admin,security,0,0,0,35
1990,3.1341497898101807,male,14,196,2,4,14,0,0,1,northeast,hisp,0,0,finance,managerial,1,0,0,10.446999549865723
1999,2.6170666217803955,male,6,36,4,16,12,0,0,1,south,whitenh,1,0,miningconstruction,construct,0,0,0,41.2760009765625
1999,2.6206095218658447,male,10,100,1,1,12,0,0,0,northeast,whitenh,1,0,durables,production,0,0,0,62.16299819946289
1990,2.722768545150757,male,35,1225,4,16,12,0,0,1,midwest,whitenh,1,0,medical,transport,0,0,0,37.76499938964844
2007,3.018460273742676,male,24,576,0,0,12,0,0,0,midwest,whitenh,0,0,nondurables,admin,0,0,0,13.550000190734863
2007,3.2537717819213867,male,37,1369,0,0,16,1,0,0,northeast,whitenh,0,1,utilities,architect,0,1,1,69.66400146484375
2007,2.4983134269714355,male,28,784,6,36,18,0,1,1,south,whitenh,0,0,medical,managerial,1,0,0,26.56800079345703
1981,3.8177669048309326,male,27,729,0,0,8,0,0,0,midwest,whitenh,1,0,nondurables,transport,0,0,0,17
2007,3.4229724407196045,male,37,1369,0,0,14,0,0,1,west,whitenh,0,0,durables,managerial,1,0,0,65.20999908447266
1981,2.9594881534576416,male,11,121,2,4,16,1,0,1,west,whitenh,0,0,nondurables,financial,1,0,0,19
2007,2.7675657272338867,male,22,484,2,4,12,0,0,1,south,blacknh,0,0,wholesale,transport,0,0,0,1.7230000495910645
1990,2.3263309001922607,male,10,100,2,4,12,0,0,1,south,blacknh,0,0,durables,production,0,0,0,1.11899995803833
2011,3.9415817260742188,male,5,25,2,4,18,0,1,1,midwest,whitenh,0,0,professional,lawyer,0,1,1,16.516000747680664
1999,3.303629159927368,male,16,256,0,0,14,0,0,1,midwest,whitenh,0,0,durables,managerial,1,0,0,22.97100067138672
2009,3.850606918334961,male,28,784,2,4,14,0,0,1,west,whitenh,1,0,utilities,production,0,0,0,25.451000213623047
1990,4.0431809425354,male,21,441,0,0,16,1,0,1,south,whitenh,0,0,communications,managerial,1,0,0,20.55299949645996
1990,3.2561018466949463,male,15,225,0,0,12,0,0,0,northeast,whitenh,0,0,miningconstruction,construct,0,0,0,16.704999923706055
1999,3.421509027481079,male,31,961,0,0,14,0,0,1,midwest,whitenh,0,0,finance,business,1,0,0,23.922000885009766
2011,4.2318620681762695,male,20,400,4,16,16,1,0,1,south,whitenh,0,0,wholesale,financial,1,0,0,34.88600158691406
1999,3.5729782581329346,male,14,196,8,64,16,1,0,1,northeast,othernh,0,0,miningconstruction,construct,0,0,0,38.3390007019043
1990,2.643244743347168,male,15,225,1,1,12,0,0,0,midwest,whitenh,0,0,retail,transport,0,0,0,17.819000244140625
1990,2.9302470684051514,male,22,484,0,0,13,0,0,1,northeast,blacknh,1,1,retail,managerial,1,0,0,18.83300018310547
1999,2.6334726810455322,male,37,1369,0,0,16,1,0,1,south,othernh,0,1,admin,admin,0,0,0,30.035999298095703
1981,3.4455201625823975,male,30,900,2,4,18,0,1,1,midwest,whitenh,0,1,education,managerial,1,0,0,32
1981,1.669269323348999,male,10,100,0,0,12,0,0,1,midwest,whitenh,0,0,durables,production,0,0,0,17
1999,3.762657403945923,male,18,324,1,1,12,0,0,0,midwest,whitenh,0,0,enterntainment,construct,0,0,0,34.11000061035156
2007,2.768665075302124,male,26,676,0,0,12,0,0,0,midwest,whitenh,0,1,enterntainment,construct,0,0,0,18.64699935913086
1981,2.5710556507110596,male,42,1764,0,0,2,0,0,0,south,blacknh,1,1,admin,transport,0,0,0,29
2009,2.964691162109375,male,18,324,6,36,14,0,0,1,west,blacknh,0,1,medical,healthcare,0,1,1,7.831999778747559
1990,2.9598937034606934,male,10,100,0,0,12,0,0,0,south,whitenh,0,0,communications,construct,0,0,0,14.295000076293945
2007,2.5677576065063477,male,14,196,0,0,14,0,0,1,south,blacknh,0,0,hospitality,foodcare,0,0,0,3.2780001163482666
1990,3.2761309146881104,male,14,196,0,0,12,0,0,0,south,whitenh,1,0,durables,production,0,0,0,13.734999656677246
2011,3.0777971744537354,male,19,361,1,1,12,0,0,0,midwest,whitenh,0,1,admin,tech,0,1,1,28.03499984741211
2007,3.715108871459961,male,23,529,0,0,14,0,0,1,northeast,whitenh,0,0,retail,sales,0,0,0,13.61400032043457
1990,3.015435218811035,male,0,0,22,484,13,0,0,1,south,whitenh,0,0,durables,healthcare,0,1,1,7.545000076293945
1990,2.8772335052490234,male,15,225,0,0,10,0,0,0,midwest,whitenh,1,0,durables,transport,0,0,0,36.53200149536133
1981,3.231576919555664,male,8,64,14,196,17,1,0,1,west,whitenh,1,1,education,legaleduc,0,1,0,33
1981,3.5772106647491455,male,24,576,3,9,16,1,0,1,west,othernh,0,1,admin,managerial,1,0,0,2
1999,2.889829635620117,male,22,484,0,0,12,0,0,1,south,blacknh,0,0,miningconstruction,construct,0,0,0,1.3899999856948853
2011,2.0351057052612305,male,5,25,2,4,13,0,0,0,midwest,blacknh,0,0,retail,sales,0,0,0,3.190999984741211
2009,2.654832124710083,male,19,361,0,0,11,0,0,0,midwest,othernh,0,0,transport,transport,0,0,0,7.618000030517578
1981,2.5275330543518066,male,18,324,0,0,9,0,0,0,midwest,whitenh,0,1,miningconstruction,construct,0,0,0,35
2011,3.6635615825653076,male,6,36,3,9,16,1,0,0,south,blacknh,0,0,enterntainment,foodcare,0,0,0,16.094999313354492
1990,3.1917195320129395,male,10,100,0,0,12,0,0,1,midwest,blacknh,0,0,nondurables,construct,0,0,0,1.1469999551773071
1981,3.5004959106445312,male,24,576,2,4,12,0,0,1,midwest,whitenh,0,0,utilities,managerial,1,0,0,32
1981,3.140493154525757,male,8,64,0,0,14,0,0,1,northeast,whitenh,0,0,miningconstruction,construct,0,0,0,14
2009,3.6414754390716553,male,26,676,0,0,14,0,0,0,south,blacknh,1,0,transport,transport,0,0,0,0.652999997138977
2007,2.8756771087646484,male,21,441,1,1,12,0,0,1,west,whitenh,0,0,professional,business,1,0,0,62.58300018310547
2007,3.5689265727996826,male,34,1156,0,0,12,0,0,1,west,whitenh,0,0,miningconstruction,managerial,1,0,0,25.739999771118164
2007,1.9263300895690918,male,11.4835205078125,131.87124325335026,14.5164794921875,210.72817684710026,10,0,0,1,south,blacknh,1,0,hospitality,foodcare,0,0,0,1.8459999561309814
1981,3.3001716136932373,male,11,121,0,0,14,0,0,0,south,whitenh,0,0,durables,production,0,0,0,12
1981,3.274024486541748,male,30,900,1,1,12,0,0,1,south,blacknh,1,0,transport,construct,0,0,0,35
2011,2.545931339263916,male,21.647188186645508,468.60075638804483,7.352811813354492,54.063841562605376,12,0,0,0,south,blacknh,0,0,nondurables,production,0,0,0,1.871999979019165
1999,2.757384777069092,male,19,361,0,0,12,0,0,1,northeast,whitenh,1,1,admin,security,0,0,0,22.21500015258789
1981,3.5550906658172607,male,32,1024,2,4,14,0,0,1,midwest,whitenh,0,0,durables,production,0,0,0,16
2009,4.346508026123047,male,9,81,0,0,18,0,1,0,northeast,whitenh,0,0,finance,sales,0,0,0,21.634000778198242
1981,3.4232981204986572,male,24,576,4,16,17,1,0,1,midwest,whitenh,0,1,miningconstruction,architect,0,1,1,32
2007,2.8868026733398438,male,33,1089,1,1,12,0,0,0,northeast,whitenh,0,0,retail,construct,0,0,0,24.320999145507812
1981,3.629711866378784,male,7,49,9,81,18,0,1,1,northeast,whitenh,1,1,education,managerial,1,0,0,9
2009,2.7142162322998047,male,25,625,5,25,12,0,0,1,midwest,whitenh,0,0,retail,sales,0,0,0,22.493999481201172
1990,2.6866979598999023,male,14,196,0,0,12,0,0,0,northeast,whitenh,0,0,transport,construct,0,0,0,13.17300033569336
2011,2.8332133293151855,male,13,169,0,0,12,0,0,1,west,whitenh,1,0,communications,construct,0,0,0,17.58300018310547
2007,3.0704729557037354,male,19,361,1,1,12,0,0,1,south,blacknh,0,0,retail,sales,0,0,0,21.552000045776367
1981,2.9427003860473633,male,34,1156,1,1,10,0,0,1,south,whitenh,1,0,nondurables,production,0,0,0,34
2007,3.297809362411499,male,15,225,1,1,14,0,0,1,northeast,whitenh,1,0,nondurables,construct,0,0,0,29.857999801635742
1981,2.9819822311401367,male,7,49,0,0,12,0,0,1,northeast,whitenh,0,0,durables,production,0,0,0,15
1981,2.9763355255126953,male,10,100,0,0,17,1,0,1,northeast,whitenh,0,0,enterntainment,production,0,0,0,24
2009,3.1546080112457275,male,14,196,1,1,12,0,0,1,midwest,whitenh,0,0,transport,transport,0,0,0,14.718000411987305
2011,3.9343318939208984,male,21,441,2,4,12,0,0,0,northeast,whitenh,1,0,miningconstruction,construct,0,0,0,23.391000747680664
2011,3.526360511779785,male,28,784,0,0,12,0,0,0,south,blacknh,1,0,transport,production,0,0,0,2.490000009536743
2007,3.0527634620666504,male,13.840593338012695,191.5620239482414,0.1594066619873047,0.02541048388593481,15,0,0,1,northeast,blacknh,0,0,medical,admin,0,0,0,2.0739998817443848
1999,3.047455072402954,male,24,576,1,1,13,0,0,0,south,whitenh,0,0,nondurables,production,0,0,0,21.540000915527344
2007,2.6792142391204834,male,9,81,1,1,12,0,0,0,south,whitenh,0,1,admin,security,0,0,0,2.453000068664551
1981,2.612919569015503,male,6,36,7,49,15,0,0,1,south,blacknh,0,0,enterntainment,construct,0,0,0,1
1999,2.20725679397583,male,6,36,1,1,10,0,0,0,south,whitenh,0,0,hospitality,foodcare,0,0,0,46.39099884033203
2009,3.8302175998687744,male,21,441,3,9,16,1,0,0,northeast,whitenh,0,0,admin,architect,0,1,1,16.270999908447266
1981,3.2205357551574707,male,19,361,3,9,12,0,0,1,northeast,whitenh,1,0,miningconstruction,construct,0,0,0,21
2011,1.1316521167755127,male,13,169,3,9,13,0,0,1,midwest,blacknh,0,1,medical,healthsupport,0,0,0,11.501999855041504
1999,2.6001172065734863,male,22,484,0,0,12,0,0,0,northeast,whitenh,0,0,miningconstruction,construct,0,0,0,8.444000244140625
1999,2.762866735458374,male,28,784,0,0,12,0,0,0,south,whitenh,0,0,wholesale,managerial,1,0,0,7.75
1981,3.02895188331604,male,14,196,0,0,18,0,1,0,south,whitenh,0,1,admin,scientist,0,1,1,27
2011,3.27714467048645,male,29,841,2,4,14,0,0,1,south,blacknh,0,1,admin,production,0,0,0,1.5379999876022339
1999,3.066162347793579,male,22,484,3,9,12,0,0,1,northeast,whitenh,0,0,transport,transport,0,0,0,25.174999237060547
1981,2.9455530643463135,male,3,9,5,25,16,1,0,1,south,whitenh,0,0,transport,tech,0,1,1,3
2011,2.8783302307128906,male,6,36,2,4,16,1,0,1,south,whitenh,0,0,finance,admin,0,0,0,17.454999923706055
2007,2.75881290435791,male,9,81,5,25,15,0,0,1,northeast,whitenh,0,0,retail,transport,0,0,0,31.93400001525879
2011,3.178053855895996,male,35,1225,0,0,12,0,0,1,south,blacknh,0,0,wholesale,transport,0,0,0,3.575000047683716
2009,2.796395778656006,male,2,4,15,225,17,1,0,0,midwest,blacknh,0,0,medical,healthsupport,0,0,0,8.517000198364258
2007,3.646116018295288,male,4,16,6,36,18,0,1,0,northeast,whitenh,0,0,finance,tech,0,1,1,11.083999633789062
2009,3.1930289268493652,male,19,361,2,4,18,0,1,1,midwest,whitenh,0,0,enterntainment,artist,0,1,1,34.01100158691406
1981,2.565129041671753,male,11,121,0,0,16,1,0,1,west,othernh,0,1,admin,managerial,1,0,0,1
2007,3.267648696899414,male,25,625,2,4,16,1,0,1,west,whitenh,1,1,admin,artist,0,1,1,29.84000015258789
2011,3.5431153774261475,male,25,625,0,0,14,0,0,1,northeast,whitenh,0,0,retail,construct,0,0,0,14.963000297546387
1999,3.4184274673461914,male,27,729,0,0,14,0,0,1,northeast,whitenh,1,1,education,construct,0,0,0,29.152000427246094
2007,2.7435240745544434,male,9,81,2,4,13,0,0,0,midwest,whitenh,0,0,durables,architect,0,1,1,13.437999725341797
2011,2.9613308906555176,male,5,25,0,0,12,0,0,1,midwest,blacknh,1,0,miningconstruction,construct,0,0,0,0.6449999809265137
2011,3.130693197250366,male,11,121,3,9,14,0,0,0,west,whitenh,0,0,enterntainment,building,0,0,0,16.535999298095703
2007,2.2285690307617188,male,17,289,18,324,12,0,0,1,midwest,blacknh,0,0,retail,sales,0,0,0,2.127000093460083
1981,2.580615282058716,male,18,324,0,0,12,0,0,1,south,blacknh,1,0,medical,production,0,0,0,4
1981,3.164222478866577,male,20,400,0,0,10,0,0,0,south,whitenh,1,0,durables,construct,0,0,0,30
1999,2.5795862674713135,male,23,529,1,1,12,0,0,1,west,whitenh,0,0,retail,managerial,1,0,0,18.350000381469727
1999,3.0537843704223633,male,20,400,0,0,12,0,0,1,midwest,whitenh,0,0,durables,construct,0,0,0,30.3700008392334
2011,2.8705692291259766,male,34,1156,0,0,12,0,0,0,west,whitenh,1,0,durables,production,0,0,0,9.519000053405762
1981,3.0441548824310303,male,22,484,0,0,12,0,0,0,northeast,whitenh,0,0,transport,transport,0,0,0,29
1981,3.5661609172821045,male,28,784,0,0,12,0,0,0,west,whitenh,1,0,communications,construct,0,0,0,33
2009,3.1568961143493652,male,14,196,0,0,13,0,0,0,midwest,whitenh,0,0,nondurables,production,0,0,0,26.85300064086914
1981,2.4656951427459717,male,11,121,0,0,12,0,0,1,south,blacknh,0,1,admin,admin,0,0,0,1
2011,3.10109281539917,male,17,289,3,9,13,0,0,0,south,whitenh,0,0,durables,construct,0,0,0,27.482999801635742
1999,1.9554773569107056,male,20,400,0,0,11,0,0,0,south,blacknh,0,0,education,building,0,0,0,1.8109999895095825
1999,3.043734073638916,male,10,100,0,0,15,0,0,0,northeast,whitenh,0,1,admin,security,0,0,0,28.60700035095215
1999,2.2536113262176514,male,24,576,0,0,12,0,0,0,northeast,whitenh,1,1,admin,security,0,0,0,24.503999710083008
1981,2.852811098098755,male,22,484,0,0,12,0,0,1,south,blacknh,1,0,transport,transport,0,0,0,1
1999,2.4706380367279053,male,14,196,0,0,12,0,0,0,northeast,whitenh,1,0,transport,transport,0,0,0,26.44700050354004
1981,2.787245035171509,male,13,169,0,0,15,0,0,1,south,whitenh,0,1,admin,security,0,0,0,19
1981,2.735028028488159,male,36,1296,0,0,16,1,0,1,west,whitenh,0,0,nondurables,admin,0,0,0,11
2007,4.791248321533203,male,6,36,10,100,18,0,1,1,midwest,whitenh,0,0,medical,lawyer,0,1,1,13.72700023651123
1990,3.4218544960021973,male,15,225,1,1,12,0,0,1,west,whitenh,1,0,communications,construct,0,0,0,20.250999450683594
2011,3.093813419342041,male,34,1156,2,4,16,1,0,0,south,whitenh,1,1,miningconstruction,admin,0,0,0,27.541000366210938
2007,2.8264665603637695,male,6,36,5,25,16,1,0,0,midwest,whitenh,0,0,education,postsecondaryeduc,0,1,1,34.33399963378906
1981,1.9431648254394531,male,44,1936,0,0,4,0,0,0,south,blacknh,0,1,education,building,0,0,0,4
2011,2.9763965606689453,male,36,1296,1,1,13,0,0,0,south,whitenh,1,0,nondurables,production,0,0,0,27.22599983215332
1990,3.385275363922119,male,4,16,4,16,17,1,0,1,northeast,whitenh,0,0,durables,tech,0,1,1,43.80400085449219
2011,2.9430911540985107,male,7,49,5,25,16,1,0,1,south,blacknh,0,0,retail,sales,0,0,0,2.9089999198913574
2009,2.6273066997528076,male,25,625,0,0,10,0,0,1,west,blacknh,1,0,hospitality,building,0,0,0,17.179000854492188
1981,2.437089443206787,male,8,64,0,0,11,0,0,1,midwest,whitenh,1,1,education,building,0,0,0,18
1990,2.398651599884033,male,14,196,0,0,12,0,0,0,south,whitenh,0,0,wholesale,managerial,1,0,0,13.649999618530273
1981,2.748469352722168,male,8,64,0,0,12,0,0,0,south,blacknh,0,1,professional,security,0,0,0,4
2007,3.370703935623169,male,12,144,0,0,17,1,0,0,south,whitenh,0,0,durables,managerial,1,0,0,5.9770002365112305
1981,2.1422035694122314,male,23,529,2,4,12,0,0,0,midwest,whitenh,0,0,education,building,0,0,0,31
1990,2.7416861057281494,male,15,225,0,0,11,0,0,0,south,blacknh,0,0,durables,production,0,0,0,3.316999912261963
2009,3.352433681488037,male,40,1600,0,0,13,0,0,1,west,whitenh,1,0,transport,construct,0,0,0,9.5600004196167
1981,2.5803158283233643,male,11,121,3,9,14,0,0,1,south,whitenh,0,1,communications,architect,0,1,1,5
2011,3.0742945671081543,male,25,625,4,16,14,0,0,0,south,whitenh,0,0,nondurables,construct,0,0,0,16.41699981689453
1999,2.996373414993286,male,32,1024,5,25,12,0,0,0,midwest,whitenh,0,0,durables,production,0,0,0,14.038999557495117
1981,3.035132646560669,male,11,121,2,4,12,0,0,1,west,whitenh,0,0,transport,transport,0,0,0,18
1999,2.8588614463806152,male,22,484,3,9,11,0,0,1,northeast,whitenh,0,0,enterntainment,construct,0,0,0,25.704999923706055
2009,2.8489880561828613,male,28,784,0,0,12,0,0,1,northeast,whitenh,0,0,transport,transport,0,0,0,32.75600051879883
1981,3.1553494930267334,male,12,144,0,0,14,0,0,1,south,blacknh,1,1,transport,admin,0,0,0,3
1981,2.49613618850708,male,8,64,2,4,13,0,0,1,south,blacknh,0,0,wholesale,sales,0,0,0,2
1981,3.6818175315856934,male,35,1225,0,0,8,0,0,1,west,whitenh,0,0,durables,construct,0,0,0,32
1990,2.86356520652771,male,27,729,0,0,8,0,0,0,south,blacknh,0,0,nondurables,transport,0,0,0,3.7690000534057617
1999,4.053661823272705,male,36,1296,5,25,17,1,0,1,west,whitenh,1,1,education,legaleduc,0,1,0,47.21699905395508
1990,2.5114004611968994,male,8,64,0,0,12,0,0,0,west,whitenh,0,0,admin,production,0,0,0,17.076000213623047
1999,2.1858673095703125,male,24,576,0,0,13,0,0,1,south,blacknh,1,1,education,legaleduc,0,1,1,3.135999917984009
1990,2.904592275619507,male,30,900,9,81,10,0,0,1,midwest,whitenh,1,0,nondurables,production,0,0,0,37.76499938964844
1990,3.2604634761810303,male,11,121,2,4,13,0,0,1,west,whitenh,1,1,admin,security,0,0,0,35.637001037597656
1981,2.1217920780181885,male,10,100,3,9,13,0,0,1,midwest,blacknh,0,0,professional,healthsupport,0,0,0,2
1999,3.206547260284424,male,29,841,1,1,12,0,0,0,northeast,whitenh,0,0,wholesale,transport,0,0,0,19.763999938964844
2007,3.2967615127563477,male,27,729,1,1,13,0,0,1,midwest,whitenh,0,0,transport,transport,0,0,0,26.1200008392334
2007,3.4836795330047607,male,25,625,0,0,12,0,0,1,midwest,whitenh,1,1,admin,security,0,0,0,25.514999389648438
1990,1.6820319890975952,male,6,36,2,4,12,0,0,0,south,blacknh,0,0,wholesale,production,0,0,0,6.633999824523926
2011,3.612412452697754,male,23,529,2,4,12,0,0,1,midwest,whitenh,0,0,durables,artist,0,1,1,55.57099914550781
1990,3.4127557277679443,male,34,1156,0,0,18,0,1,1,northeast,whitenh,0,1,admin,architect,0,1,1,41.698001861572266
2007,2.340360641479492,male,24,576,2,4,12,0,0,1,south,whitenh,0,1,transport,admin,0,0,0,56.47100067138672
1981,3.1058075428009033,male,39,1521,0,0,8,0,0,1,south,whitenh,0,0,retail,production,0,0,0,34
2009,3.346203088760376,male,27,729,7,49,16,1,0,1,west,whitenh,1,1,transport,admin,0,0,0,29.62299919128418
1999,3.5039167404174805,male,32,1024,5,25,16,1,0,1,midwest,whitenh,0,1,admin,business,1,0,0,36.92599868774414
1990,2.706536293029785,male,24,576,0,0,12,0,0,1,south,blacknh,1,0,nondurables,construct,0,0,0,4.548999786376953
1990,1.9658920764923096,male,23,529,5,25,12,0,0,0,south,blacknh,0,0,retail,production,0,0,0,3.4110000133514404
1990,3.150686502456665,male,10,100,1,1,12,0,0,1,south,blacknh,1,1,transport,admin,0,0,0,3.6649999618530273
1990,3.362881660461426,male,23,529,1,1,14,0,0,1,midwest,whitenh,1,0,transport,tech,0,1,1,20.989999771118164
1981,2.4038608074188232,male,26,676,0,0,11,0,0,1,northeast,whitenh,0,0,communications,admin,0,0,0,26
1981,3.0083963871002197,male,9,81,1,1,13,0,0,0,west,whitenh,1,0,utilities,production,0,0,0,17
1981,3.9310081005096436,male,20,400,0,0,14,0,0,0,south,whitenh,0,0,retail,managerial,1,0,0,34
1981,3.133375644683838,male,19,361,0,0,12,0,0,0,south,whitenh,1,0,nondurables,transport,0,0,0,31
1990,3.4686763286590576,male,32,1024,0,0,12,0,0,1,midwest,blacknh,1,0,durables,production,0,0,0,81.634002685546875
1981,2.9909613132476807,male,37,1369,8,64,18,0,1,1,midwest,whitenh,0,1,enterntainment,socialworker,0,1,1,32
2009,3.033979892730713,male,23,529,1,1,18,0,1,1,midwest,whitenh,0,1,education,managerial,1,0,0,25.882999420166016
1999,2.127878189086914,male,21,441,7,49,12,0,0,1,south,blacknh,0,1,education,building,0,0,0,0.875
1999,3.0129623413085938,male,3,9,28,784,16,1,0,1,midwest,whitenh,1,0,utilities,construct,0,0,0,25.77199935913086
1981,2.536219358444214,male,3,9,0,0,16,1,0,1,south,whitenh,0,0,finance,managerial,1,0,0,27
2009,2.744027853012085,male,13,169,0,0,12,0,0,1,west,hisp,0,0,hospitality,foodcare,0,0,0,5.261000156402588
2011,2.8213789463043213,male,4,16,1,1,16,1,0,0,south,whitenh,0,0,retail,sales,0,0,0,35.750999450683594
2011,2.4079456329345703,male,25,625,0,0,13,0,0,0,west,whitenh,0,0,professional,production,0,0,0,6.446000099182129
1981,3.103811502456665,male,22,484,0,0,13,0,0,1,south,whitenh,0,1,admin,security,0,0,0,15
1990,3.180807590484619,male,29,841,0,0,10,0,0,1,midwest,blacknh,1,0,durables,production,0,0,0,5.824999809265137
1990,3.177320957183838,male,10,100,5,25,16,1,0,0,south,whitenh,0,1,education,managerial,1,0,0,16.33300018310547
1990,3.0938007831573486,male,28,784,0,0,12,0,0,1,south,blacknh,1,0,retail,transport,0,0,0,1.2289999723434448
2011,2.6936094760894775,male,6,36,6,36,17,1,0,0,south,blacknh,0,1,admin,scientist,0,1,1,2.1070001125335693
2007,3.1784913539886475,male,32,1024,0,0,12,0,0,0,west,whitenh,0,0,transport,transport,0,0,0,30.283000946044922
1981,3.838627815246582,male,30,900,0,0,16,1,0,1,northeast,whitenh,0,0,nondurables,architect,0,1,1,40
2007,4.293437480926514,male,17,289,5,25,18,0,1,1,northeast,whitenh,0,0,durables,tech,0,1,1,26.10099983215332
2009,2.675034761428833,male,27,729,5,25,15,0,0,1,midwest,whitenh,1,0,transport,transport,0,0,0,26.06800079345703
1981,2.852811098098755,male,19,361,0,0,12,0,0,1,west,hisp,0,1,miningconstruction,managerial,1,0,0,41
1990,2.7558979988098145,male,44,1936,0,0,12,0,0,1,west,hisp,0,1,admin,socialworker,0,1,1,26.621999740600586
2009,3.193828582763672,male,13,169,0,0,14,0,0,0,south,whitenh,0,0,retail,managerial,1,0,0,26.298999786376953
1981,3.2683265209198,male,35,1225,0,0,12,0,0,1,northeast,whitenh,1,0,transport,transport,0,0,0,16
2011,1.2135422229766846,male,16,256,0,0,12,0,0,1,midwest,blacknh,0,0,professional,building,0,0,0,2.8369998931884766
2009,2.9722864627838135,male,13,169,0,0,13,0,0,1,south,blacknh,0,0,hospitality,sales,0,0,0,2.9790000915527344
2009,2.4332897663116455,male,5,25,3,9,18,0,1,0,midwest,whitenh,0,1,education,legaleduc,0,1,0,14.065999984741211
1981,2.963742733001709,male,10,100,0,0,15,0,0,1,south,whitenh,0,0,retail,managerial,1,0,0,10
1981,2.6767590045928955,male,5,25,4,16,16,1,0,1,south,whitenh,0,1,admin,scientist,0,1,1,14
2007,2.2106313705444336,male,21,441,0,0,12,0,0,0,south,blacknh,0,0,hospitality,building,0,0,0,37.54600143432617
1981,2.936192750930786,male,7,49,0,0,11,0,0,0,northeast,whitenh,1,0,nondurables,production,0,0,0,17
2009,3.2548532485961914,male,23,529,1,1,12,0,0,0,south,blacknh,0,0,durables,transport,0,0,0,3.803999900817871
